team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Locombia fc,Goalkeeper,Betis,Pau Lopez,9,0,2170000.0,0.0,Injured. Knee contusion. Estimated return: Mid-September.,2,4.5,7,7.0,2,2.0
Locombia fc,Goalkeeper,Levante,Ryan,2,0,1610000.0,0.0,Fit,1,2.0,0,0.0,2,2.0
Locombia fc,Defender,Elche,Alvaro Nunez,14,0,2180000.0,0.0,Fit,3,4.7,11,5.5,3,3.0
Locombia fc,Defender,Real Oviedo,Alhassane,13,0,1490000.0,0.0,Fit,3,4.3,10,5.0,3,3.0
Locombia fc,Defender,Betis,Bellerin,11,0,2110000.0,0.0,Fit,3,3.7,4,4.0,7,3.5
Locombia fc,Defender,Athletic,Areso,10,0,3680000.0,0.0,Fit,2,5.0,10,5.0,0,0.0
Locombia fc,Defender,Espanyol,El Hilali,8,0,3130000.0,0.0,Fit,2,4.0,6,6.0,2,2.0
Locombia fc,Defender,Celta,Javi Rodriguez,7,0,1740000.0,0.0,Fit,3,2.3,5,2.5,2,2.0
Locombia fc,Defender,Levante,Elgezabal,6,0,1820000.0,0.0,Fit,3,2.0,1,1.0,5,2.5
Locombia fc,Defender,Sevilla,Pedrosa,3,0,550000.0,0.0,Fit,1,3.0,3,3.0,0,0.0
Locombia fc,Defender,Villarreal,Pedraza,2,0,640000.0,0.0,Fit,1,2.0,2,2.0,0,0.0
Locombia fc,Defender,Barcelona,Gerard Martin,0,101,760000.0,0.0,Fit,0,0.0,0,0.0,0,0.0
Locombia fc,Defender,Athletic,Boiro,0,53,170000.0,0.0,Fit,0,0.0,0,0.0,0,0.0
Locombia fc,Midfielder,Getafe,Luis Milla,21,0,6020000.0,0.0,Fit,3,7.0,0,0.0,21,7.0
Locombia fc,Midfielder,Athletic,Vesga,5,0,400000.0,0.0,Fit,2,2.5,5,2.5,0,0.0
Locombia fc,Midfielder,Alaves,Denis Suarez,2,0,640000.0,0.0,Fit,1,2.0,2,2.0,0,0.0
Locombia fc,Forward,Real Madrid,Mbappe,37,0,23180000.0,0.0,Fit,3,12.3,19,9.5,18,18.0
Locombia fc,Forward/Midfielder,Real Oviedo,Chaira,11,0,2550000.0,0.0,Doubtful. Ankle discomfort.,3,3.7,5,2.5,6,6.0
Locombia fc,Forward/Midfielder,Girona,Tsygankov,10,0,4230000.0,0.0,Doubtful. Injury to the left leg.,2,5.0,8,8.0,2,2.0
Locombia fc,Forward/Midfielder,Levante,Losada,3,0,340000.0,0.0,Fit,2,1.5,2,2.0,1,1.0
Locombia fc,Forward/Midfielder,Espanyol,Antoniu Roca,2,0,250000.0,0.0,Fit,1,2.0,0,0.0,2,2.0
Locombia fc,Forward,Villarreal,Ayoze,0,241,9760000.0,0.0,Injured. Muscle injury. Estimated return: Mid-September.,0,0.0,0,0.0,0,0.0
Locombia fc,Forward,Girona,Abel Ruiz,0,76,270000.0,0.0,Injured. Quadriceps injury. Estimated return: Mid-September.,0,0.0,0,0.0,0,0.0
