position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Forward,Real Sociedad,Oyarzabal,7360000,RaiFC,"7,360,000",0.0,0,153,2025-08-10 00:45:09
Midfielder/Defender,Betis,Roro Riquelme,5260000,RaiFC,"5,260,000",0.0,0,60,2025-08-10 00:45:09
Defender/Midfielder,Getafe,Djené,2140000,RaiFC,"2,140,000",0.0,0,113,2025-08-10 00:45:09
Forward,Betis,Cucho,7380000,RaiFC,"7,380,000",0.0,0,103,2025-08-10 00:45:09
Forward,Barcelona,Ferran Torres,3630000,RaiFC,"3,630,000",0.0,0,156,2025-08-10 00:45:09
Coach,Atlético,Simeone,3220000,RaiFC,"3,220,000",0.0,0,76,2025-08-10 00:45:09
Defender/Midfielder,Celta,Mingueza,5630000,RaiFC,"5,630,000",0.0,0,181,2025-08-10 00:45:09
Forward/Midfielder,Valencia,Diego López,4440000,RaiFC,"4,440,000",0.0,0,173,2025-08-10 00:45:09
Midfielder,Villarreal,Pape Gueye,4960000,RaiFC,"4,960,000",0.0,0,164,2025-08-10 00:45:09
Midfielder,Athletic,Unai Gómez,560000,RaiFC,"560,000",0.0,0,95,2025-08-10 00:45:09
Goalkeeper,Rayo Vallecano,Batalla,4480000,RaiFC,"4,480,000",0.0,0,173,2025-08-10 00:45:10
Midfielder,Sevilla,Agoumé,2990000,RaiFC,"2,990,000",0.0,0,119,2025-08-10 00:45:10
Forward,Espanyol,Roberto Fernández,4270000,RaiFC,"4,270,000",0.0,0,105,2025-08-10 00:45:10
Forward,Betis,Pablo García,1100000,RaiFC,"1,100,000",0.0,0,6,2025-08-10 00:45:10
Goalkeeper,Levante,Pablo Campos,3140000,RaiFC,"3,140,000",0.0,0,0,2025-08-10 00:45:11
Defender,Atlético,Giménez,1120000,Free agent,"1,120,000",0.0,0,115,2025-08-10 00:45:11
Midfielder/Forward,Real Sociedad,Barrenetxea,1880000,Free agent,"1,880,000",0.0,0,94,2025-08-10 00:45:11
Defender,Celta,Carlos Dominguez,190000,Free agent,"190,000",0.0,0,64,2025-08-10 00:45:11
Goalkeeper,Sevilla,Álvaro Fernández,190000,Free agent,"190,000",0.0,0,29,2025-08-10 00:45:11
Defender,Getafe,Diego Rico,2990000,Free agent,"2,990,000",0.0,0,141,2025-08-10 00:45:11
Defender,Valencia,Correia,180000,Free agent,"180,000",0.0,0,32,2025-08-10 00:45:11
Defender,Athletic,Gorosabel,580000,Free agent,"580,000",0.0,0,87,2025-08-10 00:45:11
Midfielder,Athletic,Sancet,9290000,Free agent,"9,290,000",0.0,0,216,2025-08-10 00:45:11
Defender,Real Sociedad,Aihen,590000,Free agent,"590,000",0.0,0,62,2025-08-10 00:45:11
Midfielder,Alavés,Guevara,590000,Free agent,"590,000",0.0,0,101,2025-08-10 00:45:11
Defender,Barcelona,Ronald Araújo,2330000,Free agent,"2,330,000",0.0,0,46,2025-08-10 00:45:11
Goalkeeper,Valencia,Cristian Rivero,150000,Free agent,"150,000",0.0,0,0,2025-08-10 00:45:12
Forward/Midfielder,Getafe,Peter Federico,160000,Free agent,"160,000",0.0,0,43,2025-08-10 00:45:13
Goalkeeper,Espanyol,Fortuño,150000,Free agent,"150,000",0.0,0,0,2025-08-10 00:45:14
Defender,Villarreal,Kambwala,280000,Free agent,"280,000",0.0,0,47,2025-08-10 00:45:14
Defender,Celta,Yoel Lago,220000,Free agent,"220,000",0.0,0,31,2025-08-10 00:45:14
Forward/Midfielder,Getafe,Uche,3580000,Free agent,"3,580,000",0.0,0,163,2025-08-10 00:45:14
Midfielder,Barcelona,Marc Bernal,2270000,Free agent,"2,270,000",0.0,0,17,2025-08-10 00:45:14
Defender,Real Oviedo,Ahijado,150000,Free agent,"150,000",0.0,0,0,2025-08-10 00:45:15
Forward,Real Oviedo,Borja Sánchez,150000,Free agent,"150,000",0.0,0,0,2025-08-10 00:45:16
Midfielder,Barcelona,Oriol Romeu,990000,Locombia FC,"960,000",0.0,0,77,2025-08-10 00:45:16
Defender,Levante,Elgezabal,2110000,Locombia FC,"2,080,000",0.0,0,0,2025-08-10 00:45:17
Defender,Sevilla,Pedrosa,750000,Locombia FC,"760,000",0.0,0,121,2025-08-10 00:45:17
Defender,Osasuna,Catena,3030000,Locombia FC,"3,010,000",0.0,0,155,2025-08-10 00:45:17
Midfielder,Getafe,Luis Milla,5320000,Locombia FC,"5,280,000",0.0,0,177,2025-08-10 00:45:17
Forward,Real Madrid,Mbappé,24040000,Locombia FC,"24,100,000",0.0,0,316,2025-08-10 00:45:17
Defender,Espanyol,El Hilali,3040000,Locombia FC,"3,110,000",0.0,0,151,2025-08-10 00:45:17
Forward/Midfielder,Girona,Tsygankov,3980000,Locombia FC,"3,950,000",0.0,0,131,2025-08-10 00:45:17
Forward,Real Oviedo,Chaira,2560000,Locombia FC,"2,700,000",0.0,0,0,2025-08-10 00:45:19
Forward,Real Madrid,Gonzalo García,4750000,Locombia FC,"4,690,000",0.0,0,7,2025-08-10 00:45:19
Forward/Midfielder,Alavés,Carlos Vicente,4850000,Locombia FC,"4,810,000",0.0,0,200,2025-08-10 00:45:19
Defender,Athletic,Boiro,170000,Locombia FC,"170,000",0.0,0,53,2025-08-10 00:45:19
Forward/Midfielder,Espanyol,Antoniu Roca,180000,Locombia FC,"180,000",0.0,0,84,2025-08-10 00:45:19
Defender,Barcelona,Gerard Martín,900000,Locombia FC,"900,000",0.0,0,101,2025-08-10 00:45:19
Forward,Sevilla,Akor Adams,2650000,Locombia FC,"2,460,000",0.0,0,8,2025-08-10 00:45:19
Goalkeeper,Celta,Ionut Radu,3370000,Locombia FC,"3,380,000",0.0,0,0,2025-08-10 00:45:20
Defender,Elche,Álvaro Núñez,1600000,Locombia FC,"1,580,000",0.0,0,0,2025-08-10 00:45:21
