position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Davanter,Sevilla,Ejuke,0,108,720.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Unai López,0,124,710.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Atlético,Saúl,0,99,700.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Real Sociedad,Álvaro Núñez,0,0,690.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Sibo,0,0,680.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Osasuna,Víctor Muñoz,0,2,680.000,160.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Real Sociedad,Sergio Francisco,0,0,680.000,0,,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Manu Sánchez,0,112,670.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Óscar Valentín,0,118,670.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Pol Lozano,0,106,670.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Matías Moreno,0,0,670.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Mallorca,Asano,0,83,660.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Dimitrievski,0,13,650.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Valencia,Corberán,0,34,650.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Pampín,0,0,650.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Villarreal,Pedraza,0,42,640.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Mallorca,Morlanes,0,94,630.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Gorosabel,0,87,620.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Rayo Vallecano,Camello,0,93,610.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Jon Martín,0,54,610.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Betis,Adrián,0,69,610.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Valencia,Van de Beek,0,104,610.000,10.000,Lesionat. Operació al taló. Retorn estimat: Mitjans de setembre.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,De la Fuente,0,0,610.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,David Alaba,0,18,600.000,10.000,Dubte. Lesió muscular al soli de la cama esquerra.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Mallorca,Larin,0,122,600.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Rayo Vallecano,Íñigo Pérez,0,52,570.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Christensen,0,22,560.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Girona,Michel,0,41,550.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Sevilla,Sow,0,115,540.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Pétrot,0,0,540.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Osasuna,Alessio Lisci,0,0,530.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,Josan,0,0,530.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Toljan,0,0,490.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Betis,Bakambu,0,79,480.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Madrid,Lunin,0,29,480.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Perraud,0,80,480.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,David Costas,0,0,460.000,10.000,Sancionat. Vermella directa.,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Mallorca,Arrasate,0,48,460.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Barcelona,Pau Víctor,0,52,460.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Osasuna,Alessio Lisci,0,0,450.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Getafe,Bordalás,0,42,440.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Atlético,Molina,0,96,430.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Elche,El Ghezouani,0,0,420.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Sociedad,Gorrotxategi,0,0,420.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Traoré,0,40,410.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Óskarsson,0,62,410.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Levante,Pablo Campos,0,0,410.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Villarreal,Akhomach,0,50,400.000,20.000,Dubte. Trencament complet del lligament creuat anterior.,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Sevilla,Almeyda,0,0,390.000,20.000,Dubte. Lesió muscular al recte femoral de la cama esquerra.,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Betis,Marc Roca,0,74,370.000,0,Lesionat. Lesió al turmell. Tornada estimada: Finals d'agost.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Héctor Fort,0,53,370.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Urko Izeta,0,0,370.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Madrid,Mario Martín,0,75,360.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Viñas,0,0,350.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Domingos Duarte,0,81,340.000,10.000,Sancionat. Vermella directa.,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Espanyol,Manolo González,0,42,330.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Olasagasti,0,73,320.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Matturro,0,16,320.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Girona,Abel Ruiz,0,76,320.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Barcelona,Iñaki Peña,0,81,310.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Alavés,Pablo Ibáñez,0,86,310.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Levante,Iván Romero,0,0,310.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Sociedad,Turrientes,0,62,310.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Herrando,0,66,310.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Unai Gómez,0,95,310.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Oviedo,Moldovan,0,0,310.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Peque,0,82,310.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Mallorca,Mascarell,0,105,300.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Luengo,0,0,300.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Salinas,0,0,300.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Hugo Rincón,0,0,300.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Getafe,Juanmi,0,63,290.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Barcelona,Oriol Romeu,0,77,290.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Getafe,Coba Gomes,0,78,280.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Real Oviedo,Paunovic,0,0,280.000,0,,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Vencedor,0,0,270.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Madrid,Álvaro Rodríguez,0,74,270.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Alavés,Toni Martínez,0,111,270.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Elche,Iturbe,0,0,270.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,Mendy,0,32,260.000,10.000,Dubte. Trencament del tendó proximal del recte anterior al quàdriceps dret.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Carlos Dominguez,0,64,260.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Sevilla,Januzaj,0,66,260.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Elche,Germán Valera,0,18,260.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Alavés,Miguel Rubio,0,0,260.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Alhassane,0,0,260.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Getafe,Alex Sancris,0,0,260.000,10.000,Sancionat. Sancionat jornada 1.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Elustondo,0,67,250.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Bellerín,0,32,250.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Alavés,Raúl Fernández,0,0,250.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Betis,Chimy Ávila,0,62,250.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Rayo Vallecano,Pacha Espino,0,54,250.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Iheanacho,0,12,250.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Dominguès,0,0,250.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Elche,Eder Sarabia,0,0,250.000,0,,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Mallorca,Antonio Sánchez,0,101,240.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Getafe,Alex Sola,0,57,240.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Osasuna,Raul García,0,93,240.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Alberto del Moral,0,0,240.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Villarreal,Adrià Altimira,0,65,240.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Getafe,Adrián Liso,0,0,240.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Osasuna,Moi Gómez,0,61,230.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Javi López,0,73,230.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Correia,0,32,230.000,10.000,Lesionat. Recuperació de trencament del lligament creuat. Tornada estimada: Finals d'agost.,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Atlético,Carlos Martín,0,88,230.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Sociedad,Zakharyan,0,18,230.000,0,Dubte. Molèsties al turmell.,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Levante,Julián Calero,0,0,230.000,0,,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Paulino,0,0,220.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Rayo Vallecano,Dani Cárdenas,0,24,220.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Real Sociedad,Becker,0,74,220.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Yoel Lago,0,31,220.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Denis Suárez,0,62,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Vesga,0,73,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Celta,Iván Villar,0,12,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Juan Cruz,0,74,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Alavés,Abde Rebbach,0,20,210.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Villarreal,Kambwala,0,47,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Djaló,0,55,210.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Sevilla,Álvaro Fernández,0,29,200.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Calero,0,69,200.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Villarreal,Denis Suárez,0,62,200.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,John Donald,0,0,200.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Osasuna,Iker Benito,0,4,200.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Ricardo Rodríguez,0,56,200.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Gumbau,0,72,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Gragera,0,27,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Valery,0,51,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Rafa Mir,0,62,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Angel Ortiz,0,26,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Aihen,0,0,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,Mendoza,0,0,190.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Carlos Fernández,0,0,180.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Lekue,0,35,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Celta,Damián Rodríguez,0,57,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Osasuna,Aitor Fernández,0,11,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Jesús Vázquez,0,48,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Celta,Sotelo,0,78,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Betis,Vieites,0,15,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Van Der Heyden,0,4,180.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Jhon Solís,0,40,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Espanyol,Gastón Valles,0,0,180.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Espanyol,Antoniu Roca,0,84,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Sergio Lozano,0,0,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Cabello,0,0,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Diaby,0,0,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,Marc Aguado,0,0,180.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Betis,Losada,0,56,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Jon Pacheco,0,37,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Osasuna,Iker Muñoz,0,57,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Alavés,Eduardo Coudet,0,28,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Valencia,Guillamón,0,18,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Boiro,0,53,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Villarreal,Pau Navarro,0,53,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Paraschiv,0,0,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Ahijado,0,0,170.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Trejo,0,54,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Unai Núñez,0,34,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,Jairo,0,0,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Getafe,Peter Federico,0,43,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Valencia,Fran Pérez,0,65,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Sevilla,Idumbo,0,40,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Alavés,Benavidez,0,62,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Mateu Morey,0,38,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Girona,Francés,0,47,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Atlético,Juan Musso,0,10,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Akor Adams,0,8,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Cardero,0,0,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Girona,Krapyvtsov,0,4,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Yusi Enríquez,0,0,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Manu Fernández,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Nikola Maras,0,0,150.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Girona,Juan Carlos,0,-3,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Mallorca,Cuéllar,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Mallorca,Daniel Luna,0,4,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Akor Adams,0,0,150.000,0,Lesionat. Trencament del lligament creuat anterior del genoll esquerre. Tornada estimada: Finals de Setembre.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Alavés,Villalibre,0,36,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Odriozola,0,5,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Lato,0,38,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Espanyol,Pere Milla,0,62,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Rayo Vallecano,De Tomás,0,3,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Madrid,Fran González,0,2,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Justin Smith,0,14,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Bauzà,0,7,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Lemar,0,14,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Berrocal,0,47,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Óscar Clemente,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Girona,Jastin García,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Celta,Franco Cervi,0,19,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Osasuna,Kike Barja,0,46,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Mallorca,Abdón Prats,0,61,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Aidoo,0,9,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Valencia,Cristian Rivero,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Miovski,0,51,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Rubén Sánchez,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Rayo Vallecano,Nteka,0,79,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Athletic,Nico Serrano,0,10,150.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Javi Hernández,0,0,150.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Mallorca,Javi Llabrés,0,1,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Cömert,0,45,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Elche,Rafa Núñez,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Sevilla,Manu Bueno,0,25,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Villarreal,Jorge Pascual,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Adu Ares,0,2,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Marcão,0,16,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Barzic,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Jon Karrikaburu,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Nianzou,0,23,150.000,0,Lesionat. Lesió miotendinosa del recte anterior a la cama dreta. Retorn estimat: mitjans de setembre.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Özkacar,0,25,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Girona,Joel Roca,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Girona,Fuidias,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Villarreal,Pau Cabanes,0,47,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Valencia,Alberto Marí,0,1,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Espanyol,Fortuño,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Levante,Pastor,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Sociedad,Unai Marrero,0,14,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Valencia,Sergi Canós,0,43,150.000,0,Dubte. Operació hèrnia.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Ristic,0,25,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Alberto Dadie,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Victor Parada,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Getafe,Risco,0,13,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Javier Rueda,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Rayo Vallecano,Pelayo,0,7,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Osasuna,Ander Yoldi,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Misehouy,0,30,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Getafe,Letacek,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Athletic,Álex Padilla,0,27,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Moussa Diarra,0,67,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Hugo Novoa,0,14,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Getafe,Risco,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Mallorca,Marc Domenech,0,25,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Peio Canales,0,26,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Betis,Mateo Flores,0,15,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Pablo Ramón,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Bekhoucha,0,7,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,David López,0,7,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Ramón Martínez,0,28,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Mariezkurrena,0,40,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Mallorca,Adrián Rodríguez,0,5,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Nobel Mendy,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Espanyol,Marcos Fernández,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Hugo Pérez,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Elche,Boayar,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Levante,Espí,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Elche,Yago Santiago,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Borja Sánchez,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Yayo González,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Alavés,Davinchi,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Egiluz,0,0,150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
