position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Davanter/Migcampista,Villarreal,Pépé,0,151,3.490.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Betis,Fornals,0,122,3.480.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Yangel Herrera,0,148,3.430.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Real Madrid,Camavinga,0,98,3.400.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Atlético,Le Normand,0,112,3.400.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Rayo Vallecano,Isi Palazón,0,164,3.380.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Roberto Fernández,0,105,3.370.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Rayo Vallecano,Batalla,0,173,3.340.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Barcelona,Eric García,0,160,3.320.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Atlético,De Paul,0,191,3.310.000,240.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Alavés,Sivera,0,160,3.310.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Girona,Tsygankov,0,131,3.310.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Espanyol,Terrats,0,109,3.290.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Levante,Carlos Álvarez,0,0,3.280.000,20.000,Dubte. Pubàlgia.,0,"0,0",0,"0,0",0,"0,0"
Porter,Girona,Gazzaniga,0,153,3.230.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Espanyol,Dani Rodríguez,0,180,3.210.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Getafe,Mayoral,0,98,3.160.000,100.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Betis,Ez Abde,0,142,3.160.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,Fran García,0,140,3.150.000,180.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Boyomo,0,177,3.120.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Celta,Ilaix Moriba,0,144,3.110.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Pedro Díaz,0,115,3.110.000,130.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Gayà,0,102,3.100.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Espanyol,Dmitrovic,0,164,3.100.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Mallorca,Rondón,0,0,3.100.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Valencia,Pepelu,0,122,3.090.000,130.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Cazorla,0,0,3.080.000,210.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Betis,Borja Iglesias,0,186,3.070.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Mallorca,Pablo Torre,0,61,3.070.000,280.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Bartra,0,145,3.060.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Espanyol,Kike García,0,198,3.050.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Atlético,Simeone,0,76,3.040.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,Rüdiger,0,123,3.020.000,40.000,Sancionat. Jornada 1.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Raúl Asencio,0,104,3.020.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Madrid,Rodrygo,0,176,3.010.000,120.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Sevilla,Alfon González,0,130,3.010.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Colombatto,0,0,2.970.000,130.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Girona,Miguel Gutiérrez,0,147,2.940.000,30.000,Dubte. Operació al turmell.,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Tenaglia,0,188,2.910.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Getafe,Uche,0,163,2.880.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Alderete,0,168,2.870.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Valencia,Agirrezabala,0,58,2.860.000,240.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Madrid,De Frutos,0,165,2.850.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Osasuna,Torró,0,165,2.850.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,De Galarreta,0,120,2.830.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,Cabrera,0,153,2.810.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Valjent,0,155,2.780.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Barcelona,Marc Casadó,0,117,2.700.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Espanyol,Carlos Romero,0,149,2.640.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Areso,0,144,2.600.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Madrid,Ceballos,0,86,2.580.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Espanyol,Expósito,0,86,2.530.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Tárrega,0,154,2.530.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Diego Llorente,0,154,2.500.000,90.000,Dubte. Lesió tendinosa proximal a la musculatura isquiotibial esquerra.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Alavés,Panichelli,0,0,2.480.000,180.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Guruzeta,0,157,2.440.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Villarreal,Luiz Júnior,0,85,2.430.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Villarreal,Rafa Marín,0,0,2.420.000,170.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Celta,Fran Beltrán,0,144,2.370.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Girona,Krejci,0,135,2.350.000,150.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Espanyol,Catena,0,155,2.310.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Espanyol,El Hilali,0,151,2.270.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Kike Salas,0,146,2.260.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Real Madrid,Brahim,0,121,2.220.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Ronald Araújo,0,46,2.210.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Celta,Ionut Radu,0,0,2.190.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Badé,0,133,2.180.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Mosquera,0,148,2.180.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Girona,Blind,0,150,2.180.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Catena,0,128,2.170.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Athletic,Sannadi,0,65,2.140.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Betis,Pellegrini,0,60,2.120.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Girona,Arnau Martínez,0,144,2.120.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Diego Rico,0,141,2.090.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Mojica,0,144,2.090.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Girona,Stuani,0,171,2.060.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Rayo Vallecano,Chavarría,0,144,1.990.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Rayo Vallecano,Luiz Felipe,0,0,1.980.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Osasuna,Rosier,0,135,1.980.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Affengruber,0,0,1.980.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Rubén Vargas,0,55,1.960.000,100.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Real Oviedo,Escandell,0,0,1.940.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Sevilla,Nyland,0,118,1.940.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Sociedad,Luka Sucic,0,120,1.930.000,110.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Celta,Javi Rodríguez,0,161,1.880.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Athletic,Ernesto Valverde,0,70,1.850.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Entrenador,Villarreal,Marcelino,0,70,1.800.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Osasuna,Lenglet,0,107,1.790.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Aramburu,0,141,1.790.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Yuri,0,115,1.780.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
